event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRQ61393,2025-01-01,2025,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Iraq (2022-) Popular Mobilization Forces","Military Forces of Iraq (2022-) Intelligence and Information Department","State forces","Islamic State in Iraq and the Levant (ISIL)",,"Rebel group","State forces-Rebel group",,368,"Middle East",Iraq,"Al Anbar","Al Rutba","Markaz Al Rutba","Ar Rutba",33.0373,40.2826,2,"Al Maloomah",National,"Defusal: On 1 January 2025, the Popular Mobilization Forces conducted a security operation in the desert areas of Al Rutba district (coded as Ar Rutba city, Al Anbar), finding a tunnel belonging to ISIL militant and seizing two vehicles and an unspecified number of weapons, ammunition and explosive devices hidden inside the tunnel. The PMF had received intelligence information about the tunnel. The EOD team defused the weapons and explosives.",0,,1759781401,6119,21388,27008,
IRQ61676,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala","Gire FM",37.1503,43.5611,2,"People's Defense Forces",Other,"On 1 January 2025, Turkish army forces carried out shelling against PKK war tunnels in the Gire FM area (Al Amadiya, Duhok). HPG (PKK) claimed that Turkish forces used banned explosives during the shelling, but other sources did not confirm this. Casualties unknown.",0,,1753954492,0,1,14,14
IRQ61678,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Shelaza,37.1538,43.3850,2,"People's Defense Forces",Other,"On 1 January 2025, Turkish army forces carried out shelling against PKK war tunnels in the Selaze (Shelaza) area in Al Amadiya district, Duhok. HPG (PKK) claimed that Turkish forces used banned explosives during the shelling, but other sources did not confirm this. Casualties unknown.",0,,1753954492,30,37,38,38
IRQ61740,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","PKK: Kurdistan Workers Party",,"Rebel group","Military Forces of Turkey (2016-)",,"External/Other forces","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Metina,37.1683,43.2709,2,"Al Maloomah",National,"On 1 January 2025, unknown snipers likely to be PKK member shot and injured 2 Turkish army soldiers and 1 officer in the Metina region (Al Amadiya, Duhok). There were no fatalities.",0,,1753954492,1,1,1,1
IRQ61839,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Iraq)",,"Political militia","Civilians (Iraq)",,Civilians,"Political militia-Civilians","Civilian targeting",368,"Middle East",Iraq,Baghdad,"Al Mahmoudiya","Al Yousifya","Ad Dawrah",33.1422,44.2442,1,"Al Sumaria TV",National,"On 1 January 2025, unknown gunmen shot and killed a 20-year-old man in Ad Dawrah city (Baghdad). His body was found next to Al Yusufiyah bridge in Asia neighborhood of Ad Dawrah city, with gunshot wounds to the back. 1 fatality.",1,,1762291738,855,2551,10512,10512
IRQ61853,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Iraq)",,"Political militia","Unidentified Armed Group (Iraq)",,"Political militia","Political militia-Political militia",,368,"Middle East",Iraq,Baghdad,"Al Adhamiya","Al Rashdia","Al Husseiniya",33.5467,44.4167,1,"National Iraqi News Agency",National,"On 1 January 2025, gunmen clashed in Al Husseiniya city (Baghdad) after a children's quarrel. 4 participants of the clash were killed and 2 injured during the exchange of fire. The police (20th Brigade) arrested 13 participants of the clash, seizing 4 AK-47s and a pistol. 2 injured, 4 fatalities.",4,,1762291738,26660,137911,216449,216449
ISR44645,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,2,"Jerusalem Post; Kan News; Now 14; Times of Israel; Ynet",National,"On 1 January 2025, Hamas militants in Gaza fired two rockets toward Netivot (Beer Sheva, HaDarom). One of the rockets fell in an open area near Netivot. No casualties occurred.",0,,1736845144,13734,38437,46801,46801
ISR44646,2025-01-01,2025,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,2,"Jerusalem Post; Kan News; Now 14; Times of Israel; Ynet",National,"Interception: On 1 January 2025, Israeli military forces intercepted a rocket over the area of Netivot (Beer Sheva, HaDarom). Hamas militants in Gaza fired two rockets toward Netivot, one of which was intercepted.",0,,1736845144,13734,38437,46801,
PSE65427,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Nasser Salah al Deen Brigades","DFLP: Democratic Front for the Liberation of Palestine","Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Nezarim",31.4840,34.4056,2,"Quds News Network",National,"On 1 January 2025, Al Nasser Salah al Deen Brigades and the DFLP (Martyr Omar Al-Qassem Forces) struck an Israeli command and control position with mortar shells in Gaza - Nezarim (Gaza City, Gaza Strip). Casualties unknown.",0,,1753956656,2039,4447,4447,4447
PSE65667,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Mujahideen Brigades",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Tubas,,Tammun,32.2835,35.3837,2,"Long War Journal",International,"On 1 January 2025, Mujahideen Brigades targeted an Israeli military vehicle via roadside near the Tammun junction( Tubas, West Bank), likely as they ere passing by. Militants claimed they 'directly injured' Israeli forces but that has not been confirmed. There were no fatalities.",0,,1753956656,11158,13439,14525,14525
YEM95872,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Military Forces of Yemen (2017-) Houthi",,"State forces","Military Forces of Yemen (2022-2026) Presidential Leadership Council","Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC","State forces","State forces-State forces",,887,"Middle East",Yemen,Lahij,"Al Musaymir",,"Al Qurayn",13.5488,44.4974,2,"Al Sahil Al Gharbi",National,"On 1 January 2025, overnight Houthi forces exchanged artillery with joint forces (coded as IRG + STC generic forces) along frontline positions in Karish front (coded to Shurayjah) (Al Qabbaytah) and Al Qurayn front (Al Musaymir) (Lahij), causing 'huge human and material losses' among Houthi fighters. Unclear fatalities coded as 10 on Houthi side. Fatalities split across 2 events. 5 fatalities coded to this location.",5,,1772581294,,129,722,722
YEM95880,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Yemen (2017-) Houthi",,"State forces","Civilians (Yemen)",,Civilians,"State forces-Civilians","Civilian targeting",887,"Middle East",Yemen,"Amanat al Asimah",,,Sanaa,15.3547,44.2067,3,"Al Sahil Al Gharbi",National,"On 1 January 2025, a Houthi armed man shot and killed 1 civilian on Taizz street in Amanat al Asimah governorate (coded to governorate capital Sanaa). The reason behind the attack was not reported. The Houthi armed man fled to an unknown destination.",1,,1754563409,47396,47462,47462,47462
PSE66169,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Al Burayj",31.4394,34.4031,2,"Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli artillery shelled the southeast of Al Burayj Camp (Deir El Balah, Gaza Strip). Israeli artillery also shelled the vicinity of Al Moqadma area, north of Al Burayj coded to the same location. Casualties unknown for both shelling.",0,,1753956656,27442,36801,37639,37639
PSE66172,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"An Nusayrat - North",31.4591,34.3923,2,"Quds News Network",National,"On 1 January 2025, Israeli artillery shelled the northwestern areas of An Nusayrat Camp, coded to An Nusayrat - North (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753956656,26759,28370,28398,28398
PSE66251,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)","Refugees/IDPs (Palestine)",Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Al Burayj",31.4394,34.4031,1,"Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli warplanes struck a residential home in Al Burayj (Deir El Balah, Gaza Strip), resulting in two dead. Additionally, Israeli warplanes struck a home in Block 9 in the center of Kat in the same location, resulting in deaths and injuries [unspecified fatalities coded as three]. While, Israeli artillery shelled the area.",5,,1753956656,27442,36801,37639,37639
